          country          |          date          | daily_vaccinations |                 vaccines
---------------------------+------------------------+--------------------+------------------------------------------
 Argentina                 | 2020-12-29 00:00:00+03 |              11704 | Sputnik V
 Argentina                 | 2020-12-30 00:00:00+03 |              15656 | Sputnik V
 Argentina                 | 2020-12-31 00:00:00+03 |              15656 | Sputnik V
 Argentina                 | 2021-01-01 00:00:00+03 |              11070 | SputnikV
 Argentina                 | 2021-01-02 00:00:00+03 |               8776 | SputnikV
 Argentina                 | 2021-01-03 00:00:00+03 |               7400 | SputnikV
 Argentina                 | 2021-01-04 00:00:00+03 |               6483 | SputnikV
 Argentina                 | 2021-01-05 00:00:00+03 |               7984 | SputnikV
 Argentina                 | 2021-01-06 00:00:00+03 |               8173 | SputnikV
 Argentina                 | 2021-01-07 00:00:00+03 |               8363 | SputnikV
 Argentina                 | 2021-01-08 00:00:00+03 |              10519 | SputnikV
 Argentina                 | 2021-01-09 00:00:00+03 |              11942 | SputnikV
 Argentina                 | 2021-01-10 00:00:00+03 |              13365 | SputnikV
 Argentina                 | 2021-01-11 00:00:00+03 |              14788 | SputnikV
 Argentina                 | 2021-01-12 00:00:00+03 |              14056 | SputnikV
 Argentina                 | 2021-01-13 00:00:00+03 |              13323 | SputnikV
 Argentina                 | 2021-01-14 00:00:00+03 |              13320 | SputnikV
 Argentina                 | 2021-01-15 00:00:00+03 |              13317 | SputnikV
 Argentina                 | 2021-01-16 00:00:00+03 |              12971 | SputnikV
 Argentina                 | 2021-01-17 00:00:00+03 |              12624 | SputnikV
 Argentina                 | 2021-01-18 00:00:00+03 |              12278 | SputnikV
 Argentina                 | 2021-01-19 00:00:00+03 |              11932 | SputnikV
 Argentina                 | 2021-01-20 00:00:00+03 |              11586 | SputnikV
 Argentina                 | 2021-01-21 00:00:00+03 |              11704 | SputnikV
 Argentina                 | 2021-01-22 00:00:00+03 |              11263 | SputnikV
 Argentina                 | 2021-01-23 00:00:00+03 |              11124 | SputnikV
 Argentina                 | 2021-01-24 00:00:00+03 |              10342 | SputnikV
 Argentina                 | 2021-01-25 00:00:00+03 |               9046 | SputnikV
 Austria                   | 2021-01-05 00:00:00+03 |               7953 | Pfizer/BioNTech
 Austria                   | 2021-01-06 00:00:00+03 |               3368 | Pfizer/BioNTech
 Austria                   | 2021-01-07 00:00:00+03 |               3368 | Pfizer/BioNTech
 Austria                   | 2021-01-08 00:00:00+03 |               7263 | Pfizer/BioNTech
 Austria                   | 2021-01-09 00:00:00+03 |               5791 | Pfizer/BioNTech
 Austria                   | 2021-01-10 00:00:00+03 |               4705 | Pfizer/BioNTech
 Austria                   | 2021-01-11 00:00:00+03 |               5031 | Pfizer/BioNTech
 Austria                   | 2021-01-12 00:00:00+03 |               6366 | Pfizer/BioNTech
 Austria                   | 2021-01-13 00:00:00+03 |               7365 | Pfizer/BioNTech
 Austria                   | 2021-01-14 00:00:00+03 |               8429 | Pfizer/BioNTech
 Austria                   | 2021-01-15 00:00:00+03 |               7747 | Pfizer/BioNTech
 Austria                   | 2021-01-16 00:00:00+03 |               7953 | Pfizer/BioNTech
 Austria                   | 2021-01-17 00:00:00+03 |              10129 | Pfizer/BioNTech
 Austria                   | 2021-01-18 00:00:00+03 |              11852 | Pfizer/BioNTech
 Austria                   | 2021-01-19 00:00:00+03 |              12472 | Pfizer/BioNTech
 Austria                   | 2021-01-20 00:00:00+03 |              12489 | Pfizer/BioNTech
 Austria                   | 2021-01-21 00:00:00+03 |              12552 | Pfizer/BioNTech
 Austria                   | 2021-01-22 00:00:00+03 |              11797 | Pfizer/BioNTech
 Austria                   | 2021-01-23 00:00:00+03 |              11765 | Pfizer/BioNTech
 Austria                   | 2021-01-24 00:00:00+03 |               9622 | Pfizer/BioNTech
 Bahrain                   | 2020-12-23 00:00:00+03 |               3871 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2020-12-24 00:00:00+03 |              11106 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2020-12-25 00:00:00+03 |               5789 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2020-12-26 00:00:00+03 |               4197 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2020-12-27 00:00:00+03 |               3662 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2020-12-28 00:00:00+03 |               3210 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2020-12-29 00:00:00+03 |               2846 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2020-12-30 00:00:00+03 |               2622 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2020-12-31 00:00:00+03 |               1225 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-01 00:00:00+03 |               1258 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-02 00:00:00+03 |               1220 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-03 00:00:00+03 |               1011 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-04 00:00:00+03 |                943 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-05 00:00:00+03 |               1122 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-06 00:00:00+03 |               1594 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-07 00:00:00+03 |               1942 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-08 00:00:00+03 |               2706 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-09 00:00:00+03 |               3437 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-10 00:00:00+03 |               4080 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-11 00:00:00+03 |               4427 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-12 00:00:00+03 |               4840 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-13 00:00:00+03 |               4699 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-14 00:00:00+03 |               5332 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-15 00:00:00+03 |               6361 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-16 00:00:00+03 |               7572 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-17 00:00:00+03 |               7473 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-18 00:00:00+03 |               7176 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-19 00:00:00+03 |               6546 | Pfizer/BioNTech,Sinopharm
 Bahrain                   | 2021-01-20 00:00:00+03 |               6110 | Pfizer/BioNTech,Sinopharm
 Belgium                   | 2020-12-28 00:00:00+03 |               3634 | Pfizer/BioNTech
 Belgium                   | 2020-12-29 00:00:00+03 |                  1 | Pfizer/BioNTech
 Belgium                   | 2020-12-30 00:00:00+03 |                234 | Pfizer/BioNTech
 Belgium                   | 2020-12-31 00:00:00+03 |                159 | Pfizer/BioNTech
 Belgium                   | 2021-01-01 00:00:00+03 |                122 | Pfizer/BioNTech
 Belgium                   | 2021-01-02 00:00:00+03 |                 97 | Pfizer/BioNTech
 Belgium                   | 2021-01-03 00:00:00+03 |                 81 | Pfizer/BioNTech
 Belgium                   | 2021-01-04 00:00:00+03 |                 70 | Pfizer/BioNTech
 Belgium                   | 2021-01-05 00:00:00+03 |                283 | Pfizer/BioNTech
 Belgium                   | 2021-01-06 00:00:00+03 |                736 | Pfizer/BioNTech
 Belgium                   | 2021-01-07 00:00:00+03 |               1855 | Pfizer/BioNTech
 Belgium                   | 2021-01-08 00:00:00+03 |               3134 | Pfizer/BioNTech
 Belgium                   | 2021-01-09 00:00:00+03 |               3578 | Pfizer/BioNTech
 Belgium                   | 2021-01-10 00:00:00+03 |               3634 | Pfizer/BioNTech
 Belgium                   | 2021-01-11 00:00:00+03 |               4398 | Pfizer/BioNTech
 Belgium                   | 2021-01-12 00:00:00+03 |               6284 | Pfizer/BioNTech
 Belgium                   | 2021-01-13 00:00:00+03 |               8558 | Pfizer/BioNTech
 Belgium                   | 2021-01-14 00:00:00+03 |              10320 | Pfizer/BioNTech
 Belgium                   | 2021-01-15 00:00:00+03 |              12023 | Pfizer/BioNTech
 Belgium                   | 2021-01-16 00:00:00+03 |              12246 | Pfizer/BioNTech
 Belgium                   | 2021-01-17 00:00:00+03 |              12582 | Pfizer/BioNTech
 Belgium                   | 2021-01-18 00:00:00+03 |              13135 | Pfizer/BioNTech
 Belgium                   | 2021-01-19 00:00:00+03 |              13001 | Pfizer/BioNTech
 Belgium                   | 2021-01-20 00:00:00+03 |              12222 | Pfizer/BioNTech
 Belgium                   | 2021-01-21 00:00:00+03 |              11112 | Pfizer/BioNTech
 Belgium                   | 2021-01-22 00:00:00+03 |               9632 | Pfizer/BioNTech
 Brazil                    | 2021-01-16 00:00:00+03 |              27304 | Sinovac
 Brazil                    | 2021-01-17 00:00:00+03 |                112 | Sinovac
 Brazil                    | 2021-01-18 00:00:00+03 |                554 | Sinovac
 Brazil                    | 2021-01-19 00:00:00+03 |               3823 | Sinovac
 Brazil                    | 2021-01-20 00:00:00+03 |               7136 | Sinovac
 Brazil                    | 2021-01-21 00:00:00+03 |              27304 | Sinovac
 Brazil                    | 2021-01-22 00:00:00+03 |              40980 | Sinovac
 Brazil                    | 2021-01-23 00:00:00+03 |              76825 | Sinovac
 Brazil                    | 2021-01-24 00:00:00+03 |              86373 | Sinovac
 Brazil                    | 2021-01-25 00:00:00+03 |              99928 | Sinovac
 Bulgaria                  | 2020-12-29 00:00:00+03 |               1013 | Moderna,Pfizer/BioNTech
 Bulgaria                  | 2020-12-30 00:00:00+03 |               2889 | Moderna,Pfizer/BioNTech
 Bulgaria                  | 2020-12-31 00:00:00+03 |               1477 | Moderna,Pfizer/BioNTech
 Bulgaria                  | 2021-01-01 00:00:00+03 |               1007 | Moderna,Pfizer/BioNTech
 Bulgaria                  | 2021-01-02 00:00:00+03 |                799 | Moderna,Pfizer/BioNTech
 Bulgaria                  | 2021-01-03 00:00:00+03 |                675 | Moderna,Pfizer/BioNTech
 Bulgaria                  | 2021-01-04 00:00:00+03 |                592 | Moderna,Pfizer/BioNTech
 Bulgaria                  | 2021-01-05 00:00:00+03 |                533 | Moderna,Pfizer/BioNTech
 Bulgaria                  | 2021-01-06 00:00:00+03 |                472 | Moderna,Pfizer/BioNTech
 Bulgaria                  | 2021-01-07 00:00:00+03 |                920 | Moderna,Pfizer/BioNTech
 Bulgaria                  | 2021-01-08 00:00:00+03 |               1231 | Moderna,Pfizer/BioNTech
 Bulgaria                  | 2021-01-09 00:00:00+03 |               1222 | Moderna,Pfizer/BioNTech
 Bulgaria                  | 2021-01-10 00:00:00+03 |               1246 | Moderna,Pfizer/BioNTech
 Bulgaria                  | 2021-01-11 00:00:00+03 |               1270 | Moderna,Pfizer/BioNTech
 Bulgaria                  | 2021-01-12 00:00:00+03 |               1476 | Moderna,Pfizer/BioNTech
 Bulgaria                  | 2021-01-13 00:00:00+03 |               1304 | Moderna,Pfizer/BioNTech
